,Latitude_2019,Longitude_2019,elev_2019,Latitude_2011,Longitude_2011,elev_2011,Latitude_2012, Longitude_2012, elev_2012,Latitude_2013,Longitude_2013,elev_2013,Latitude_2014,Longitude_2014,elev_2014,Latitude_2015,Longitude_2015,elev_2015,Latitude_2016,Longitude_2016,elev_2016,Latitude_2018,Longitude_2018,elev_2018
435,69.224953,310.366709,163.5409,69.229124,310.407827,369.917,,,,69.238315,310.402023,498.5352,69.232829,310.405152,443.0538,69.229697,310.406892,350.1447,69.228992,310.407839,338.4252,,,
439,69.224625,310.366809,163.5611,69.228823,310.408012,359.5135,,,,69.238095,310.40216,498.1424,69.232556,310.405326,443.5202,69.229407,310.407077,340.9676,69.228698,310.40803,332.3393,,,
443,69.224297,310.366909,163.2237,69.228523,310.408198,350.6578,,,,69.237875,310.402296,499.0236,69.232284,310.4055,439.3486,69.229118,310.407261,342.5901,69.228404,310.408222,332.7486,,,
447,69.22397,310.367008,162.1862,69.228222,310.408383,349.6399,,,,69.237655,310.402432,498.5329,69.232011,310.405675,434.1674,69.228828,310.407446,340.6173,69.22811,310.408414,330.7018,,,
451,69.223642,310.367107,162.9897,69.227922,310.408569,352.8885,,,,69.237435,310.402568,497.3056,69.231738,310.40585,426.1466,69.228539,310.40763,334.7402,69.227817,310.408607,324.5573,,,
455,69.223315,310.367206,164.2352,69.227622,310.408754,353.4288,,,,69.237214,310.402702,494.0957,69.231465,310.406024,413.5401,69.228249,310.407816,332.3515,69.227523,310.408799,329.7554,,,
459,69.222989,310.367304,166.6674,69.227321,310.40894,352.2161,,,,69.236993,310.402836,495.5487,69.231191,310.4062,402.5082,69.22796,310.408001,331.6616,69.227229,310.408992,335.2679,,,
463,69.222662,310.367402,169.2436,69.227021,310.409126,357.2036,,,,69.236772,310.40297,496.3909,69.230918,310.406373,397.5647,69.227671,310.408186,330.3733,69.226935,310.409184,336.5557,,,
467,69.222336,310.3675,171.8367,69.22672,310.409312,364.4292,,,,69.236551,310.403102,490.6618,69.230644,310.406548,389.9949,69.227382,310.408371,328.6269,69.226641,310.409376,334.2074,,,
471,69.22201,310.367597,174.0118,69.22642,310.409498,368.5059,,,,69.236329,310.403233,483.0683,69.23037,310.406722,378.0829,69.227092,310.408557,329.8309,69.226347,310.409569,334.4197,,,
475,69.221684,310.367695,175.1887,69.22612,310.409684,362.9377,,,,69.236107,310.403363,480.7327,69.230096,310.406897,371.1416,69.226804,310.408742,332.6892,69.226053,310.409762,336.1941,,,
479,69.221358,310.367791,177.1148,69.225819,310.40987,359.3715,,,,69.235885,310.403495,483.4271,69.229821,310.407073,367.6569,69.226514,310.408929,332.5362,69.225759,310.409954,337.3468,,,
483,69.221033,310.367888,177.0983,69.225519,310.410056,362.4112,,,,69.235663,310.403627,485.2252,69.229547,310.407247,360.2927,69.226225,310.409115,332.9069,69.225464,310.410146,338.6324,,,
487,69.220707,310.367984,176.4192,69.225218,310.410243,366.7917,,,,69.23544,310.40376,483.3778,69.229273,310.407423,349.5319,69.225937,310.409301,334.1011,69.22517,310.410339,340.2831,69.220151,310.413762,359.9073
491,69.220382,310.368081,175.975,69.224917,310.41043,366.0716,,,,69.235217,310.403894,480.7791,69.228998,310.407599,341.7356,69.225647,310.409488,335.9966,69.224876,310.410532,342.2337,69.219867,310.413939,358.7494
495,69.220057,310.368177,175.1097,69.224617,310.410617,365.8476,,,,69.234995,310.404029,481.82,69.228724,310.407774,337.8175,69.225359,310.409674,336.441,69.224581,310.410724,341.6758,69.219583,310.414116,356.0788
499,69.219732,310.368273,175.3316,69.224316,310.410804,366.5095,,,,69.234772,310.404164,483.0805,69.228449,310.407951,332.8421,69.22507,310.409862,337.265,69.224286,310.410916,339.8031,69.219298,310.414293,353.5634
503,69.219408,310.368369,176.7598,69.224016,310.410992,365.2608,,,,69.234549,310.4043,480.9049,69.228174,310.408125,329.4243,69.224781,310.410049,341.1619,69.223991,310.411109,339.795,69.219014,310.41447,356.5284
507,69.219083,310.368466,178.0135,69.223715,310.411179,365.6673,,,,69.234325,310.404436,473.2477,69.2279,310.408302,329.0872,69.224493,310.410236,342.92,69.223696,310.411301,343.3965,69.218729,310.414648,351.4831
511,69.218759,310.368562,180,69.223414,310.411367,369.8583,,,,69.234101,310.404571,467.3033,69.227625,310.408477,329.9215,69.224204,310.410423,341.8613,69.223401,310.411494,346.6616,69.21816,310.415002,352.7891
